,Player,GA,PKA,FK,CK,OG,PSxG+/-,/90,Cmp%,Thr,Launch%_Passes,AvgLen_GK,Opp,Stp%,#OPA/90,AvgDist,Min,GA90,SoTA,Saves,Save%,Squad,Weekly Wages (USD),Annual Wages (USD),League,Age
0,Julen Agirrezabala,6.0,0.0,0.0,0.0,0.0,-0.5,-0.06,36.6,33,29.6,55.4,96.0,11.5,1.33,15.4,675,0.8,19.0,13.0,68.4,Athletic Club,8832,459253,La Liga,21.0
1,Doğan Alemdar,8.0,1.0,0.0,2.0,0.0,-1.5,-0.32,34.3,14,38.5,51.4,75.0,6.7,1.11,14.8,406,1.77,16.0,7.0,56.3,Rennes,2734,142150,Ligue 1,19.0
2,Alisson,43.0,2.0,0.0,0.0,2.0,10.1,0.27,41.0,210,18.4,31.3,397.0,5.8,2.41,19.8,3330,1.16,147.0,105.0,72.1,Liverpool,190651,9913856,Premier League,29.0
3,Alphonse Areola,7.0,2.0,0.0,1.0,0.0,0.3,0.09,37.8,14,39.3,33.0,47.0,4.3,0.29,10.3,309,2.04,16.0,9.0,68.8,West Ham,152521,7931085,Premier League,29.0
4,Kepa Arrizabalaga,33.0,1.0,1.0,4.0,3.0,5.0,0.18,31.9,151,17.1,31.5,332.0,4.5,1.82,16.9,2565,1.16,120.0,90.0,73.3,Chelsea,190651,9913856,Premier League,27.0
5,Sergio Asenjo,21.0,1.0,1.0,0.0,0.0,-4.2,-0.42,35.8,46,38.8,51.2,166.0,3.0,1.7,16.1,900,2.1,51.0,30.0,60.8,Valladolid,21869,1137199,La Liga,33.0
6,Emil Audero,39.0,5.0,0.0,4.0,2.0,-4.7,-0.19,36.1,104,45.8,44.2,356.0,6.7,0.92,13.9,2250,1.56,121.0,82.0,71.9,Sampdoria,31122,1618322,Serie A,25.0
7,Édgar Badía,63.0,7.0,0.0,4.0,2.0,8.5,0.24,45.3,166,33.8,41.7,574.0,3.7,0.56,12.7,3240,1.75,200.0,136.0,72.0,Elche,13668,710749,La Liga,30.0
8,Oliver Baumann,57.0,2.0,1.0,11.0,1.0,-5.6,-0.16,39.2,168,35.3,39.3,529.0,8.1,1.26,13.4,3060,1.68,161.0,105.0,65.8,Hoffenheim,66238,3444401,Bundesliga,32.0
9,Gavin Bazunu,56.0,1.0,1.0,7.0,4.0,-16.6,-0.52,33.7,144,50.2,50.0,456.0,7.9,1.5,15.1,2880,1.75,120.0,67.0,54.2,Southampton,25420,1321847,Premier League,20.0
10,Asmir Begović,0.0,0.0,0.0,0.0,0.0,0.5,0.49,30.8,5,36.4,46.8,23.0,4.3,0.0,5.0,90,0.0,4.0,4.0,100.0,Everton,57195,2974157,Premier League,35.0
